Country Name,Country Code,"Life expectancy at birth, total (years)","GDP per capita, PPP"
Afghanistan,AFG,61.982,1517.016266
Albania,ALB,76.463,14595.94439
Algeria,DZA,76.377,11029.13878
American Samoa,ASM,..,..
Andorra,AND,..,..
Angola,AGO,61.643,5911.835657
Antigua and Barbuda,ATG,78.497,19899.88243
Argentina,ARG,75.39,21527.19614
Armenia,ARM,72.043,14193.11683
Aruba,ABW,74.626,38866.33349
Australia,AUS,83.3,49774.3407
Austria,AUT,81.23902439,54121.14554
Azerbaijan,AZE,69.366,14433.90421
"Bahamas, The",BHS,71.598,30053.03239
Bahrain,BHR,78.76,49754.04774
Bangladesh,BGD,72.381,5911.012996
Barbados,BRB,77.571,13754.80242
Belarus,BLR,72.37068293,19872.6925
Belgium,BEL,81.8902439,51823.50753
Belize,BLZ,70.47,8762.240537
Benin,BEN,59.821,3321.552174
Bermuda,BMU,79.28,78570.48951
Bhutan,BTN,71.815,10907.85671
Bolivia,BOL,63.63,8052.177441
Bosnia and Herzegovina,BIH,75.3,15893.0601
Botswana,BWA,61.141,14907.08577
Brazil,BRA,72.75,14735.58178
British Virgin Islands,VGB,74.494,..
Brunei Darussalam,BRN,74.642,60127.02369
Bulgaria,BGR,71.51463415,24393.77553
Burkina Faso,BFA,59.27,2179.789039
Burundi,BDI,61.663,714.0667124
Cabo Verde,CPV,74.052,6592.855522
Cambodia,KHM,69.584,4354.565206
Cameroon,CMR,60.333,3700.464289
Canada,CAN,82.59660976,48218.03832
Cayman Islands,CYM,..,69400.66666
Central African Republic,CAF,53.895,837.5046857
Chad,TCD,52.525,1425.494512
Channel Islands,CHI,81.232,..
Chile,CHL,78.944,25412.75207
China,CHN,78.211,17657.49518
Colombia,COL,72.83,14661.21324
Comoros,COM,63.417,3228.526858
"Congo, Dem. Rep.",COD,59.193,1073.643271
"Congo, Rep.",COG,63.519,3234.392972
Costa Rica,CRI,77.023,21189.69566
Cote d'Ivoire,CIV,58.598,5316.463901
Croatia,HRV,76.42439024,31793.22611
Cuba,CUB,73.683,..
Curacao,CUW,..,20783.08561
Cyprus,CYP,81.203,41694.25781
Czechia,CZE,77.37317073,40744.33788
Denmark,DNK,81.40487805,57962.65409
Djibouti,DJI,62.305,4912.671543
Dominica,DMA,72.814,10899.41453
Dominican Republic,DOM,72.615,18626.07868
Ecuador,ECU,73.67,10668.75829
"Egypt, Arab Rep.",EGY,70.221,12180.45165
El Salvador,SLV,70.748,9191.604049
Equatorial Guinea,GNQ,60.594,14637.00735
Eritrea,ERI,66.536,..
Estonia,EST,76.74146341,38717.69615
Eswatini,SWZ,57.066,8856.828968
Ethiopia,ETH,64.975,2319.161063
Faroe Islands,FRO,83.49756098,..
Fiji,FJI,67.114,10359.2037
Finland,FIN,81.93414634,48713.29149
France,FRA,82.32439024,44993.12595
French Polynesia,PYF,79.486,..
